"title","totalScore","reviewsCount","price","street","city","categoryName","rank","popularTimesLiveText"
"EAT HAPPY",,"0",,"Plieninger Str. 63D","Filderstadt","Sushi takeaway","165",
"Restaurant Aspendos","4.6","718","€20–30","Neckarstraße 98","Stuttgart","Turkish restaurant","163",
"Restaurant Zeus · Paulaner Biergarten","4.2","566","€20–30","Römerstraße 37","Esslingen","Greek restaurant","162",
"Landhausstuben","3.3","4",,"Siemensstraße 33","Stuttgart","Restaurant","176",
"Eiscafé Venedig Kö66/1","4.4","979","€1–10","Königstraße 66","Stuttgart","Ice cream shop","177",
"AlBayt Restaurant","4.8","138","€20–30","Amstetter Str. 39","Stuttgart","Restaurant","175",
"Isabella Glutenfreie Pâtisserie","4.5","1145","€10–20","Calwer Str. 48","Stuttgart","Patisserie","174","Not too busy"
"McDonald's","3.3","747","€1–10","Wolfgang-Brumme-Allee 27","Böblingen","Fast food restaurant","164",
"Portuguese Restaurant","4.5","252","€20–30","Lange Str. 1","Sindelfingen","Portuguese restaurant","172",
"Santin Eiscafé - Gloria Passage","4.2","327","€1–10","Königstraße 20","Stuttgart","Ice cream shop","170",
"Santy Mobile 1","4.3","6",,"Königstraße","Stuttgart","Ice cream shop","168",
"Coffeebrands","4.9","33","€1–10","Seelbergstraße 14","Stuttgart","Coffee shop","173","Now: Usually a little busy"
"Kikuya YAKINIKU","4.1","249","€60–70","Weißenburgstraße 4a","Stuttgart","Yakiniku restaurant","166",
"Dong Kinh Asia Restaurant","4.1","1040","€10–20","Berliner Str. 25","Böblingen","Sushi restaurant","167",
"Restaurant im Mercure Hotel","3.9","38","€10–20","Schwertstraße 65","Sindelfingen","German restaurant","100",
"Restaurant Heng Amani","4.5","489","€20–30","Wiener Str. 58","Stuttgart","Pan-Asian restaurant","161",
"Imbiss im Freibad Hennstedt","4.2","5",,"Kummerfeld 5","Hennstedt","Snack bar","120",
"Anas Foodtruck","5","9","€10–20","Markt 19","Heide","Snack bar","119",
"Restaurant Tanzkaffee Melodie","4.3","30","€10–20","Am Kräherwald 110","Stuttgart","Restaurant","171",
"Domino‘s Pizza Heide","3.4","262","€10–20","Süderstraße 36","Heide","Pizza restaurant","118",
"Fischhandlung-Fischimbiss Meike Guszinski","4.4","592","€1–10","Am Hafen 33","Tönning","Seafood restaurant","116",
"Leprechaun Irish Pub","4.2","303","$$","Schuhmacherort 25","Heide","Irish pub","115",
"Pasha Imbiss","2.6","114","€1–10","Rolfsstraße 1","Hennstedt","Doner kebab restaurant","114",
"Bäckerei Balzer","4.3","397","€1–10","Markt 19","Heide","Bakery","113",
"Pizzahaus Hennstedt","3.4","109","$","Mühlenstraße 6","Hennstedt","Delivery Restaurant","110",
"Bäckerei Balzer","4.3","445","€1–10","Meldorfer Str. 80","Heide","Bakery","112",
"Seaside anne Eider","4.3","4",,"Am Hafen","Tönning","Snack bar","117",
"EAT HAPPY",,"0",,"Berliner Str. 1","Esslingen","Sushi takeaway","169",
"Burger King","3.8","1707","€10–20","Vogelweide 6B","Heide","Fast food restaurant","108","Not too busy"
"Euro Pizza Service","3.9","87","€10–20","Meldorfer Str. 82","Heide","Pizza delivery","107",
"Da Anna & Cosimo Ristorante Pizzeria","4.5","432","€20–30","Süderstraße 14","Heide","Pizza restaurant","106",
"Pizza RUNDSTÜCK","4.8","382","€10–20","Husumer Str. 100","Heide","Pizza restaurant","104",
"KFT Krabben & Fisch Tönning OHG Inh. Gebr. Nothdurft","4.7","1395",,"Am Eiderdeich 12","Tönning","Fishmonger","111","Less busy than usual"
"Eidertal Camping","4.4","140",,"Eiderstraße 20","Delve","Campground","103",
"Asia Imbiss-Bistro","4.5","361","€10–20","Markt 67","Heide","Chinese restaurant","102",
"Imbiss ""PARTYMOBIL""","4.7","58","€1–10","Koogchaussee 22","Lunden","Snack bar","101",
"Star Kebap Haus Wangen","4","324","€1–10","Ulmer Str. 309","Stuttgart","Turkish restaurant","160","Now: Usually not busy"
"FFILIPPO ( Wir ziehen zum Markt 66 um) bis zum 29.01 bleibt unser Lokal aufgrund Renovierung geschlossen","4.7","122","€10–20","FFILIPPO, Markt 66","Heide","Pizza delivery","105",
"Oishi Sushi Restaurant - Stuttgart","4.6","979","€10–20","Leobener Str. 28","Stuttgart","Sushi restaurant","159",
"Keyaki Japanese Cuisine","4.6","725","€20–30","Katharinenstraße 5","Stuttgart","Sushi restaurant","157",
"Nemrut Döner & Pizza","4.1","161","€1–10","Pfahlbühlstraße 6","Weinstadt","Takeout Restaurant","155","Now: Usually not too busy"
"Restaurant Malathounis","4.5","127","€100+","Gartenstraße 5","Kernen","Greek restaurant","156",
"Nelo Eiscafé & Lieferservice","4.4","498","€1–10","Süderstraße 11","Heide","Ice cream shop","109","Now: Usually not too busy"
"Restaurant Casa Lusitana","4.1","169","€10–20","Rotenbergstraße 1","Stuttgart","Portuguese restaurant","153",
"Ristorante Rusticone","4.3","543","£££","Naststraße 15, D","Stuttgart","Italian restaurant","158",
"Indian Thali","4.5","657","€10–20","Löwen-Markt 5","Stuttgart","Indian restaurant","152",
"Merdan Kebap Haus","4.1","455","€1–10","Bahnhofstraße 139","Fellbach","Kebab Shop","151","Busier than usual"
"Restaurant Nagare","4.8","149","€100+","Feuerbacher-Tal-Straße 34","Stuttgart","Japanese restaurant","149",
"PIER 51 Restaurant & Steakhaus Stuttgart","4.3","1582","£££","Löffelstraße 22","Stuttgart","Restaurant","148",
"Restaurant Kicho","4.6","1221","$$$","Jakobstraße 19","Stuttgart","Japanese restaurant","154",
"Restaurant Rösch","4.5","207","€20–30","Scheffelstraße 23","Stuttgart","German restaurant","145",
"Ochsen - Restaurant • Bar • Brasserie","4.6","231","$$$","Böcklerstraße 25","Stuttgart","Restaurant","144",
"Origami Restaurant","4.5","1314","€50–60","Hauptstätter Str. 61","Stuttgart","Sushi restaurant","142",
"Im Reisfeld Restaurant","4.9","921","€20–30","Obertorstraße 7","Esslingen","Vietnamese restaurant","143",
"(Clubrestaurant Da Domenico )Franco & Toni","4.2","453","€10–20","Heßbrühlstraße 64","Stuttgart","Italian restaurant","147","A little busy"
"Restaurant Waldheim","4.3","229","€20–30","Waldheimstraße 26","Ostfildern","Restaurant","146",
"Stefania & Matthias Fröhlich GbR",,"0",,"Friedrichstraße 28","Heide","Restaurant","100",
"Robbie’s Pommes Shop","4.1","455","€1–10","Heidkoppel 12","Erfde","Snack bar","99","Now: Usually not too busy"
"Restaurant Schwarzbach","4.4","569","€20–30","Dürrlewangstraße 70","Stuttgart","Restaurant","150",
"Pizza Rad","4.8","174","€10–20","Ziegelhofweg 2","Heide","Pizza restaurant","96",
"Restaurant Brunnenstuben","4.7","277","£££","Quellenstraße 14","Waiblingen","German restaurant","141",
"City Pizza Service Heide","3.3","92","€20–30","Rosenstraße 5","Heide","Pizza delivery","95",
"Golf Club Gut Apeldör","3.8","16",,"Apeldör 2","Hennstedt","Golf club","98","Not busy"
"Die Kult Currywurst in Heide | Der Bochumer","4.3","156","€10–20","Schanzenstraße 11","Heide","Snack bar","93",
"Kolls Gasthof Inhaber Hans-Heinrich Koll","4.6","130","€10–20","Bundesstraße 5 11","Weddingstedt","Restaurant","91",
"Forest Café Lounge ""Altes Forsthaus""","4.4","252","€10–20","Forstweg 150","Heide","Cafe","97",
"Die Müllerei","4.5","45","€1–10","Husumer Str. 86","Heide","Restaurant","90",
"Asiatisches Restaurant Mr. Kim","4.4","713","€20–30","Nordstrander Str. 10","Heide","Asian restaurant","89",
"Haus des Gastes","4.6","115",,"Tannenweg 2A","Krempel","Event venue","87",
